premise,hypothesis,label,lang_abv
a man is holding a cigarette outdoors in front of a blue wall with a sink on it .,the woman is sitting alone .,2,en
a man wearing black carving stone .,the baby is wearing a green shirt .,2,en
the man in the white shirt holds up a playing card .,a little boy is drowning .,2,en
three men are working with their bikes in the shoulder of a road .,the todd is playing with the toys .,2,en
two men in orange uniforms stand before a train and do some work .,a man in a hat is driving a truck .,2,en
a man waiting in an airport terminal writes on a piece of paper as others are seen behind .,some animals are watching a hockey game .,2,en
"the dog is in snow , and has a stick in its mouth .",a young child is sitting in a chair .,2,en
little boy peering into a glass display case .,a person is walking on the ground .,2,en
"people are coming down a mo staircase built through a tunnel , which has three of those staircase .",people are playing xbox .,2,en
a cart of large water containers is in front of two women who are standing as well as two women who are walking down the street .,the man is naked .,2,en
a woman is taking a picture on the shoulders of another woman in cold weather .,a person is sleeping .,2,en
two men with gray beard share a laugh while enjoying the nice weather .,the man is walking with red .,2,en
a solo cyclist is riding down a windy road .,the man has a red shirt .,2,en
"a couple is sitting down smiling , with the woman linking arms with the man .",a man is in jeans and fries .,2,en
a golfer shoots his ball out of a sand trap .,a man is sitting in a pew .,2,en
a candi photo of a young lady sitting at a restaurant table .,the dog is eating a bowl of food .,2,en
three men drink at a reflective bar .,two cats jump over a bike .,2,en
a beautiful bride walking on a sidewalk with her new husband .,a child is reading .,2,en
boy in red and black shirt walks through grass .,a woman and child are walking around .,2,en
"two men in suits standing in front of a bus , one is wearing a medal .",the man is running out of the building,2,en
three people are walking on a beach .,a woman is driving a truck .,2,en
"by a table with several boxes and two coffee cups on it , a woman in a green sweater is opening a small box and another person (",a man wearing a black shirt wash in a sponsored .,2,en
"a group of people , one of which is a woman with a large white and colorful purse , wait to board a large white and blue bus",a young boy is sitting down on the couch .,2,en
a white woman waiting in line .,a lot of people are at a ballet .,2,en
a young girl in a riding outfit is sitting on a horse holding a teddy bear .,a man is standing on a woman ' s hands .,2,en
woman reading a book with a grocery to .,a man is sitting in a train center .,2,en
two belly dancers perform with each other in the streets while pass look on and watch the display .,a couple of men are sitting in the grass .,2,en
a man takes a picture of another two men in a crowd .,the woman is playing the electric guitar while standing in front of the store .,2,en
asian individuals are taking pictures of some unidentified thing .,a woman in a striped shirt is sitting on a bench .,2,en
a young male wearing a blue hat turned backwards and slightly sideways with a cigarette in his mouth .,the man is sleeping .,2,en
a group of men on a beach are chasing another man who is carrying a ball .,the man is sitting under a tree .,2,en
a man wearing a white shirt and a blue jeans reading a newspaper while standing,the woman sat in the rain .,2,en
a younger man dressed in tribal attire .,a group of adults are in a car,2,en
a group of students are walking through the campus .,a woman holding a monkey in a box .,2,en
a man dressed in all white and wearing a white hat stands on a sidewalk next to a building .,the dog is sleeping on the couch .,2,en
"a man wearing a white shirt and a hat , riding his bike , makes an obscene gesture to the photographer",a dog is swimming in the lake .,2,en
a guy taking a nap in the back of a vehicle .,nobody is looking at the snow .,2,en
a businessman in a white sweater conducts necessary business in a plaza using a concrete abu as a work table .,a man sleeping on the moon .,2,en
the small dog is running across the lawn .,two men are racing in the car .,2,en
"a man , with a blue wrapping around his foot , is about to kick another man , with a red cloth hanging from his belt , in",the two men are in the car .,2,en
a young girl poses with a trophy in the park .,the boy is swimming in the ocean .,2,en
a crowd watching a skate .,a woman sha her hand in the background .,2,en
"a barefoot man in an orange shirt , shorts , and a baseball cap is sitting on the open tail of a silver pickup truck .",the woman is sitting in the dirt bike .,2,en
"woman wearing dark brown leather jacket , sunglasses , brown leather boots , silver designer hand , sitting on a fire engine red park bench .",the person is wearing a coat .,2,en
a group of people wait to cross the street in new york,a woman in a red dress is making a cheese .,2,en
children nap on a floor while others stand by .,the man is not wearing a shirt .,2,en
a male sitting down enjoy his coffee at a coffee shop .,the truck is empty,2,en
a few young boys throwing a football over a volleyball net .,a woman is looking very in a bowling alley .,2,en
a woman in a brown shirt is kneeling in the street .,a woman in a dress is laughing .,2,en
a black - haired woman with her hair in a high bun is having her head shaved by another woman .,a girl is wearing a dress that has her eyes .,2,en
an old man looking over a sculpture .,a man plays a saxophone .,2,en
a woman is sitting down doing some sort of craft work while another person operates a large wooden lo device in the background .,man outside playing,2,en
a guy in glasses is biting into a pink marsh chick while somebody else is puck their lips out wanting a bite .,the girl is playing a game .,2,en
a crowd of people at a county fair watch three men ag a large bull .,the woman is holding a bag .,2,en
the large white bird graz the water .,a man is driving a car .,2,en
two men with tan hats working in a garden .,a man is watching tv .,2,en
a man is tossing a knife in the air while another man stands nearby .,a young woman is sitting in a chair .,2,en
a man and a boy behind the wheel of a car .,a girl is running around a church .,2,en
"four cyclists are racing on an indoor racetrack all wearing the same red , white , and blue uniforms .",the man is wearing a tu .,2,en
two men working on farm equipment that is being pulled by two horses .,a woman in a baseball cap is un the pitcher .,2,en
a child buried in the sand .,a woman is taking a nap,2,en
a car is loaded with items on the top .,two women are dancing around .,2,en
"blue , red , yellow , and white are the dominant colors of a picture of two police vehicles outside of what looks like a smoke roll playing",a woman in a red shirt is holding a tennis rack .,2,en
a black woman is sitting on the beach examining an octopus .,the people are sitting on a bench,2,en
the three young children played with some toilet paper in the grass .,the man is cooking food .,2,en
three girls blow out the candles of a cake made of pee .,a woman wearing a white dress skip through a field .,2,en
a man with a beard is playing an acoustic guitar on the street .,the man is swimming in the lake .,2,en
pedestrians are gazing at a display of books set out on a sidewalk under a tree .,two young men are lying down .,2,en
"a black women holding a sign that says , "" free hugs "" in the city .",a man is skiing down a hill .,2,en
a man standing alone in a park .,the two men are playing baseball .,2,en
a top man straps surf on top of his blue car .,the man is asleep in his bed .,2,en
young boys in green and blue jerseys kick around a soccer ball while other soccer games take place in the background .,a woman is wearing a red shirt and bright yellow pants .,2,en
a woman wearing a ball cap squat down to touch the cracked earth .,a white dog is sitting down .,2,en
cook handling hot tray with food on it .,a man is playing a guitar .,2,en
two white dogs fighting with each other,a man is sitting in his office lawn .,2,en
a basketball player with green shoes is dun the ball in the net while the arena crowd looks on .,the people are sleeping on the beach .,2,en
a girl in a black skirt and blue dress is watering flowers .,the man is in the house,2,en
a surfer on a wave .,the people are playing golf .,2,en
asian women selling fruits from baskets at an outdoor market,the man is playing a violin .,2,en
a woman with red - hair and large tattoo is sitting in a chair outside .,the two chef is skiing down the street .,2,en
six people appearing to be planting something in the ground .,the woman is sitting quietly .,2,en
"the player in the white dr the ball , while the player in the orange tries to stop him .",a woman is getting a car .,2,en
a wet dog shaking off excess water in a field .,a man is sitting in a garden .,2,en
a woman in black reviews a message as she walks to work .,two women are running to the store .,2,en
small dog in costume stands on hind legs to reach dangling flowers .,the people are sitting on a bench .,2,en
a woman wearing a yellow tank top and white pants looking into a window on a city street .,a woman is playing a tuba .,2,en
"a man is holding on to a piece of rope , sitting in an in boat , in front of several other larger boats .",a woman is sitting on a boat .,2,en
the blue kay is being ridden over a small waterfall .,the man is at the beach,2,en
a small dog watches two big dogs playing rough in a field .,a man is about to go for a run .,2,en
a group of children looking at the contents of a slide through a microscope displayed on a computer screen .,a man is sitting on the couch .,2,en
at least eight people are sitting at a table in a building that overlook the city .,a man wearing a black shirt and a woman is riding a golf cart down the stairs .,2,en
a group of people building ginger houses .,the man is playing the piano .,2,en
"adults and children share in the looking at something , and some young ladies stand to the side .",two men are standing on a couch .,2,en
3 young man in hood standing in the middle of a quiet street facing the camera .,the men are playing basketball .,2,en
a boy hits a tennis ball on a court .,a woman is in a bikini .,2,en
a man and a woman are dancing in the crowd .,the woman has a red shirt .,2,en
a girl wearing a scarf is brushing a horse .,two boys are in the kitchen .,2,en
a man performing auto repair in front of a building .,the two women are sleeping,2,en
a variety of people are sitting around a tale doing craft projects .,the man is wearing a white shirt and jeans is making a dress .,2,en
a group of friends are sitting at a table while drinking alcohol at their local pub .,the girls are made of pizza .,2,en
a woman wearing a tank top and black pants is laying on the ground while looking at a book .,a lady is at her bar .,2,en
a young girl with a white long - sleeve shirt on helps a young boy brown long - sleeve shirt on with tying his shoe,a woman eats pancakes,2,en
two men shining peoples shoes .,a man is riding a bike .,2,en
a worker shovel dirt into a wheel .,the woman is playing video games .,2,en
a boy in a hat and glasses is playing a guitar .,the girl is naked .,2,en
a white man in a blue uniform is pushing away a black man in a red uniform while the two play soccer on a green field .,the men are working in an office .,2,en
a couple walks hand - in - hand in front of victorian - style building and a wall with a large sleeping baby painted on it .,the child is doing a paper in the water .,2,en
stick figures in the middle of the street .,a couple is walking in a bridge,2,en
several women wearing dresses dance in the forest .,the man is running .,2,en
three children hold a boy ' s arms down while another boy in a hat shoots a water gun at him .,a woman cooks a fish with the child .,2,en
a small child is giving heavy metal signs,the four black men are playing basketball .,2,en
two young boys are playing in a fountain in a city plaza .,the player is opening the phone .,2,en
a man is swimming with a little girl wearing a pink life jacket in an indoor pool,a woman wearing a green top is walking through the park .,2,en
a man in a red shirt and blue jeans is standing in front of a wall with other people ' s shadows in front of him on the,the cat is running,2,en
street vendors preparing and serving grille food .,the girl is inside studying for food class .,2,en
man in traditional costume holding small guitar with a silver bike behind him .,a girl is sitting on a chair looking at a beach .,2,en
a boy watches a woman walking amidst many concrete boxes .,a cat in a black dog jumps .,2,en
a photo of a woman in a black coat standing in front of a large two - panel photo depicting a woman in a gray dress looking,a boy is playing video games .,2,en
"three men dressed in white shirts and white hats , ( two with baseball caps , the leader with a white construction helmet ) , pounding sticks on",a baby is sleeping .,2,en
a lady stands outside of a mexican market .,the men are working in a dark room .,2,en
child swimming in a pool .,the woman is wearing blue .,2,en
child plays with pigeon in busy public area while group of people watch him play .,the man is sitting near a tree .,2,en
six seated men converse and one man fiddle with an interesting contra .,the women are playing baseball .,2,en
"a man looks at an ipad on a subway , while a beautiful women reads a book .",a man in a blue dress is standing on a face in a suit .,2,en
young children play on sc .,they are driving a car .,2,en
"a man in a black shirt is about to cross the road while on his cell , another man is laying on the ground while a lady",a man is walking into the water .,2,en
a young child climbing a stack of logs even though the sign warns against it .,a child plays with his cat,2,en
a group of asian men are sitting or standing around a small square table .,there is a man watching others dance,2,en
it is a march of people of different backgrounds all walking and one guy in a green shirt holds a flag .,the dog is not jumping,2,en
men in an office with computers and a project screen .,a woman in white is dancing .,2,en
two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign .,a man is sleeping on the street .,2,en
a young child plays on a beach next to an empty chair .,the woman is in a pool .,2,en
a man dressed only in a towel is in a sa .,the people are sitting .,2,en
a man with a plaid shirt stands with his hand on hip at an opening of a large tree .,there are only people in the office .,2,en
a canoe in the distance on a lake as seen from another canoe .,a lady is talking about her phone .,2,en
a newspaper delivery man smiles as he walks down a sidewalk holding his papers on top of his head .,a little girl in a red shirt is dancing with a dog,2,en
a white - clad soccer player is attempting to intercept a soccer ball that is quickly approaching the goal box .,the man is sitting with his wife .,2,en
construction workers on lifts working on a building .,the man is wearing a red shirt and jeans is looking at a gas station .,2,en
a man sitting on a motorcycle with a sunset directly behind him,three children play out in the sand .,2,en
a man in a one piece tunic is riding a bike in front of a sandstone wall while touching his nose .,one man is asleep in his bed .,2,en
three people are dressed in costumes and playing musical instruments .,a man in a suit is eating a sandwich .,2,en
a man is eating food next to a child on a bench .,the man is inside a house .,2,en
"an athletic woman in a gray top and black shorts , seems very focused on her roller .",the woman is standing at a supermarket .,2,en
there is a person walking down a tree lined street with snow scattered about .,a man puts pierced .,2,en
a young boy is jumping down an in water ride .,no one is playing the guitar in the front yard .,2,en
the young man is trying to balance on the train tracks .,the girl is wearing a pink skirt .,2,en
two workers stretch the canvas of the advertising billboard for free range chickens to be app on a billboard .,a kid flying a kite .,2,en
construction worker working on a structure,old men and a woman are standing in a mall .,2,en
a young girl jumps off her swing in front of building .,a woman is sitting down .,2,en
a bald man is getting out of a small blue car .,the dog is chasing the cat .,2,en
many people have decided to take a rest on the steps .,the little boy is playing with barbie .,2,en
sm and laughing baby in a walker with fire engine airplane mobile and other toys on the floor,a woman is sitting on the couch .,2,en
a young woman in a bikini looking at something in a glass case .,a woman is walking her bike down a ramp .,2,en
a little boy in a black and red striped shirt walks down a grassy hill .,the man is driving a car .,2,en
"coach talks with football player , other players and crowd in background .",a girl in a black shirt is sitting down on a chair styling her grandmother .,2,en
a young girl looking down through some leaves from atop a tree .,the man is cooking .,2,en
a boy on a bicycle in mid,the women are wearing yellow shorts .,2,en
child is laughing and playing around .,a boy is sitting at home .,2,en
an asian woman enjoys a nice treat,the man is standing next to a horse .,2,en
a young man waits on a bench with his bag behind a few advertisements in london .,two older women are riding a horse .,2,en
"the festivities of the latin celebration has brought many visitors and enthusiastic , colorful , performers to the city .",a man is in the middle of the ocean .,2,en
two men climbing on a wooden sc .,the men are singing .,2,en
"six males , four with shirts and two without , have taken a break from their construction work on a building .",a girl has nothing on it .,2,en
a woman wearing colonial clothing is sitting on the grass reading to a young girl .,the man is in a pink shirt,2,en
man and women standing under a red umbrella .,the person in space is sitting on the ground .,2,en
3 ladies with numbers on their shirts running .,a women is swimming in a pool .,2,en
white dog high jumping over some pillows .,the women are soaking up the highway .,2,en
a dog jumps over the pole .,a woman is wearing a black dress .,2,en
a boy in a red hooded top is smiling whilst looking away from his reflection .,a woman is eating a hot to a sign .,2,en
workers are scattered among the sc on an older building .,three people are on the grass,2,en
a choir practicing in a church .,the boy is sitting on the beach,2,en
a man wearing a short - sleeve blue shirt and carrying a blue backpack while using snow walking sticks trek through the snow with a woman,the boat is completely empty and pink .,2,en
young child standing on a snow pile in a city .,the woman is riding a bike .,2,en
four people and a baby are crossing the street at a cross .,the man is inside the grocery store .,2,en
a man shows off his spider - web face paint .,a group of people are at a funeral .,2,en
a child making a sand castle on the beach .,a man sits in a chair .,2,en
the young lady is giving the old man a hug .,a man and woman are watching tv .,2,en
an obama bid supporter cheers for the presidential candidate and his running mate .,a boy is riding a horse .,2,en
a couple walking down the street .,the man is wearing a purple top .,2,en
"a woman in a gray kim walks past a black car in the middle of a crowded street full of japanese signs , with a man in",a girl is sitting in a chair .,2,en
a man in a blue t - shirt is taking a picture while a woman with an umbrella walks behind him .,the two men are playing a video game .,2,en
a couple is eating outside at a table and he is pointing at something .,the woman is swimming in a lake .,2,en
"a blond woman with a tattoo of on an angel on her arm walking down the street , a concrete wall in the background .",the people are swimming .,2,en
uniformed group walks down a street .,the girl is wearing a red shirt and white pants .,2,en
"two people kick , with others spec .",a man walks his dog in order to the parade .,2,en
two das play with a red ball,a boy is sitting down with yellow spots .,2,en
"blond - haired girl wearing a bicycle helmet , a black t - shirt that reads "" t "" and a printed dog tag necklace",a woman is walking on the sidewalk .,2,en
"child in blue polo are sitting around a table writing on their notebook , one is standing up .",a man is riding his bike being pulled by a red ramp .,2,en
women playing volleyball in the sand near the ocean .,nobody is sitting,2,en
a man and woman setup a camera .,the man is lying down .,2,en
"two men are seen talking , one man wears pink and another is sporting a t - shirt for summer school 60th anniversary .",a woman is sitting on a bench .,2,en
a man in a tank top fixing himself a hot .,the man is wearing a black shirt .,2,en
a white and black spotted dog is running through a grassy area .,a woman is riding a subway .,2,en
a man in a leather jacket and glasses walks across an intersection while a man in a gray sweatshirt and white hat looks on .,the boats are flying up the street .,2,en
a man in a blue shirt is performing a skate trick near st while two other men watch .,a man is playing a game of soccer .,2,en
a passenger wearing a life jacket prepares to take a picture of a whale very close to the boat .,the two dogs are running through the grass .,2,en
a person in blue is the only person currently throwing their ball at a bowling alley .,the woman is sleeping .,2,en
three men in hats and a woman in a red shirt examine the produce presented to them by the man in the blue shirt and white hat .,a man is wearing a black shirt,2,en
four children are playing in some water .,the woman is playing a flute .,2,en
a female within the fore is heading towards a large white colored pillar that is apart of a large building with people are lo or,two dogs are sitting in the woods .,2,en
a little boy playing with two rubber chickens .,a woman is smoking a bath .,2,en
men sitting on the side of a brick road .,a person is sitting on the couch .,2,en
a person wearing orange stockings and chunk boots has her legs stretched out on the grass .,a man is wearing a swim and a tank top .,2,en
two men stand in hu grass skirts stand in the back of a truck at the top of a silver ramp .,a woman is wearing a blue hood rides a horse in a park .,2,en
a young girl with a purple shirt and a pink hair band standing near the woods .,the woman is wearing all black .,2,en
"two men in workers ' gear and colorful hard hats standing on board what appears to be a large ship , next to some very large machinery .",the man is wearing a black shirt .,2,en
a male guitar player is vigorously singing a not to a song in a poorly lit room .,two people are wearing red shirts .,2,en
two strong men work to saw a log .,a boy is playing basketball .,2,en
the man in the black wet is walking out of the water .,the girls are wearing black,2,en
a person is hanging on to the bottom of an airplane preparing to sky .,a woman is sitting on a bench .,2,en
a student in a green shirt is writing in a notebook .,the dog is flying a bright blue .,2,en
a furry dog is jumping over a hurdle .,the woman in orange is sitting on the sidewalk .,2,en
two children work together on a project at a table .,the people are standing in a field .,2,en
two people connected to ropes wearing bright orange helmets are sitting on a rocky cr high in the mountains .,a man jumps on the ground .,2,en
"a man wearing blue pants , a white helmet , and a green - striped shirt is shown on ski in mid , against a blue",the man is running in the field .,2,en
several people including a child and a clown are walking towards a snowy sidewalk,two girls are playing .,2,en
a child rides a bicycle in a sunny neighborhood .,a cat running over the grass .,2,en
a woman wearing a bright orange blouse is weaving .,there is a man in a white shirt .,2,en
three women sit together near woven walls .,a man wearing a gray sweater sits on a bench while he reads a book .,2,en
a member of the army is walking with a german shepard while the dog has something in has mouth .,the guy is pulling the rain .,2,en
"two basketball players on opposing teams , one in white , the other in red , are mid - game , running down the court , white -",the man on the bicycle is purple .,2,en
the man in the black shirt is showing the man in the orange shirt something that he has for sale .,a nude woman is holding .,2,en
a man in a jacket wearing black boots walking on the truck of a fallen tree over a ravine .,the man is wearing a hat .,2,en
a boy runs as others play on a homemade slip and slide .,a doctor is making a small child .,2,en
a man is sitting on the floor and is surrounded by pictures .,four people are sitting at a table .,2,en
"a lady , dressed in a costume , is posing with an axe in the middle of the woods .",the men are all wearing white shirts .,2,en
a little boy is standing in front of a wedding party laughing .,the four people are sitting in a bar,2,en
"a man and a woman , both wearing sunglasses , embrace one another , while smiling and posing for the camera .",a man is riding a horse .,2,en
"a group of people are riding down a roller coaster that appears to be called the "" cyclone . """,a woman is watching a play baseball .,2,en
children playing a video game together .,a woman is riding a horse .,2,en
a person taking pictures of a young brunette girl .,a man is asleep in the water .,2,en
"two beautiful , little girls with dark hair and dark complexion are sitting down eating cup .",a man is sitting in a chair .,2,en
a man in a white shirt and baseball hat is pushing a cart carrying several bags on a street .,a blond woman is running on the beach .,2,en
a person wearing a red shirt is falling off a white surf .,three girls are driving in a car .,2,en
"a group of four children pose on a muddy beach , smiling and making faces .",the dog is inside the other,2,en
a skier ski - jumping while two other skier watch his act .,a man is standing on a bridge .,2,en
an old black man sitting on a couple of grocery crates playing the string guitar during the day .,the two men are outdoors with their legs laughed .,2,en
"a man dressed in a blue shirt , tan shorts , and a red baseball cap is examining a red antique car with an u . s .",a man is playing the violin,2,en
people are standing next to a chain link fence .,a man is next to a person,2,en
"two children are looking through a telescope on a city street , and the boy is using a step ladder to see through the eye .",a couple is sitting in a shopping mall .,2,en
the little boy stands in the middle of birds who have gathered on the sidewalk .,the man is in a car,2,en
"stretching high in the air , the player in the black shirt reaches for the football as the other stretches toward him to steal it away .",nothing is being judged in the rain .,2,en
a man wearing a brightly green camouflage patterned denim jacket and boots walks by a building labeled lottery ticket centre .,the man is in the rain .,2,en
a man wearing a gray tank top is collecting a red rose from a woman who is wearing a white dress,two men are sitting in a classroom,2,en
a person with a striped tube standing in the middle of a crowd of people .,a woman is reading a book on a couch .,2,en
a boy in blue shorts and a t - shirt is poised to hit a tennis ball with a rack .,the woman is naked .,2,en
a man with a duff bag and girl pushing a cart walk down a street .,the man is in a cubic .,2,en
a man is smiling at a woman in a white dress .,a woman in an office with a white shirt and orange jacket is in the street,2,en
an emergency worker directs a man pulling a sl with emergency equipment on a snowy path .,the boy is catching a fr with his sword .,2,en
two women wearing apron and hair look at each other while they reach into metal can .,the woman is sitting on the bench .,2,en
a dog standing near snow looking at water .,the two men are wearing yellow dresses .,2,en
a surfer is riding a wave in a large body of water .,the man is playing a football game .,2,en
a younger couple is walking across a cross outside with a very busy bus stop behind them .,the people are sitting on the road .,2,en
a young boy is hugging a wooden post .,two men and women are hiking in the park .,2,en
a five piece horn band all playing in a hall of what looks like a church .,people are resting on the bench .,2,en
a man in neon green seahawks sweatshirt leans on a railing .,a woman sleeps in bed .,2,en
an asian woman in a hat is measuring food from barrels with a lad into a smaller metal pan .,the man is on a bike .,2,en
three bride in blue dresses hold the train of a bride ' s wedding dress .,the boy is taking a nap .,2,en
this person is walking down the street and talking on their cell on a windy day .,the woman is wearing a blue dress .,2,en
there is a woman in a white tank top and camouflage pants with a big black belt on a stage holding a microphone .,a man in a suit is sitting in a chair,2,en
a school is jumping over a low hurdle .,a boy sits on a chair .,2,en
a little boy playing outside on the cement .,the woman is shopping for the sun can .,2,en
two people riding their bikes down a street together .,a woman in a dress is sitting in the library .,2,en
a large black and white dog is licking a smaller white and black dog who is growling .,the man is wearing a dress .,2,en
a musical group performs on stage with their instruments .,the boy is playing with his dad .,2,en
a man with a light blue t - shirt outside in the open wearing red ear protection while firing a gun .,a man is sitting in a restaurant .,2,en
a young man holding a microphone and singing .,two women are in a cafe,2,en
a man with brown pants and boots moving a tent .,the two men are in a movie theater .,2,en
a girl laying on the ground on her cell .,a man is checking his forehead .,2,en
a man in a red shirt is walking towards a blue market stall .,the man is a nice day,2,en
a man with a beard is talking on the cell and standing next to someone who is lying down on the street .,a man is riding a horse .,2,en
businessman walking as two arrows point to him .,a man wearing all black jeans and a white hat and jeans are walking by a large wooden pier .,2,en
a woman and two children walk along stones to cross a river while a dog swim .,the people are standing up .,2,en
the man is outside on the beach walking his dog .,the people are inside watching a movie theater,2,en
two men riding a boat in clear water on a sunny day .,a dog is sleeping on the sand .,2,en
a boy plays his trumpet during a performance with his band .,two men are sitting on a bench .,2,en
a man with a beer in his hand listen to a woman talk .,the man is in a car .,2,en
a girl dressed in a halloween costume is carrying bag of candy and a sc with a jack - o - lantern on someone porch in,a man is sleeping .,2,en
a woman in a white apron prepares various meat on a large grill .,a man is sitting in a pink chair .,2,en
a choir of youths are singing .,a man is getting ready to avoid a car .,2,en
a biker races .,the man is taking a nap .,2,en
the two dogs are playing catch with a red fr .,a man is attempting to go swimming in the pool .,2,en
"a skier being helped onto a red stretch by three men , while two other men and a woman prepare to help .",people driving down the road .,2,en
a man is reno a room .,the customers are at a bar .,2,en
a man in an orange tu is standing in front of a basket containing a pack of mar reds and other small objects .,the man is indoors .,2,en
a man wearing a white t - shirt and shorts is rock climbing with other people wearing blue hard hats .,a woman in a blue dress is working .,2,en
three women are dressed in ninja costumes .,a man eating lunch,2,en
a man in a hat is driving a horse - driven cart down a cobb street .,a woman clutches her tattoo in her pocket .,2,en
a man in a black tank top wearing a red plaid hat,a man is swimming in the ocean .,2,en
a dog hides in the tall grasses along a rocky shore,the man is dancing .,2,en
a woman in red blouse is standing with small blond child in front of a small folding chalk .,a dog is chasing a cat .,2,en
a man with a red beard and mustache is smiling and wearing a hat cr with green yarn and miller beer cans .,a woman is not making fruit .,2,en
a man in an orange hat holds a ball .,three men are swimming in a pool .,2,en
a large number of people wearing only white and red are walking on a street .,the man ate a sl .,2,en
two scuba divers inspecting a large metal object in the water .,a woman is walking on the sidewalk .,2,en
