premise,hypothesis,label,lang_abv
a man is wearing protective hair and face covering .,the woman are standing outside .,1,en
two young children wearing wool caps and mit covering their mouths while whispering to each other .,a boy is holding a pink sign .,2,en
a young infant cries while having his or her pajamas button .,a group of people hanging at a pin .,2,en
a group of people are in a row in the ocean surrounded by sea .,the todd is playing with his toys .,1,en
an accident involving a green sudan and a gray van .,a man was giving speech to his employees with the jewelry and punk rock .,2,en
two men in karate gear using fighting sticks .,people are in the city .,2,en
"a man on a bicycle rides past a park , with a group of people in the background .",a group of people are outside .,2,en
a group of people in black outfits drinking beer .,a child is getting ready to go bowling .,1,en
a winds catching air with water streaming off of the board .,man is outside at night .,2,en
two girls wearing hats are running through snow drift outside .,the man is eating lunch .,0,en
young boys in green and blue jerseys kick around a soccer ball while other soccer games take place in the background .,a child is eating a banana .,0,en
a large group of people gather at a piano bar .,the man is sitting on his couch .,1,en
a shirt booth with a man printing a shirt .,the man has a guitar .,1,en
a young girl with her bike .,a man is in prison clothes shake hands .,2,en
boys in what appears to be a library or school room .,a man is getting a hair .,2,en
"a man wearing blue jeans and a peach shirt is arguing with a woman with long gray hair , a red skirt and tan shirt .",a lady is selling items .,0,en
"one man watches while another break , balancing himself for a moment on one hand .",three blonde boys are playing with a ball in a gym .,2,en
"a bearded man jumps in the snow with the ocean in the background and an orange , rec bike parked near a road sign .",a child is sitting .,2,en
a crowd is watching a group of men in suits with briefcase walk in formation down the street led by a woman holding a sign .,a woman and child are walking along a deserted street .,0,en
the hockey players and referee are preparing for a face - off .,the man is inside a building .,1,en
two cars are being driven in a car race .,a woman is wearing a bathing suit and is leaning on a fence .,0,en
a young man holding a young woman in his arms as they get splashed by water shooting up from a fountain .,a family focuses on a boat waiting for their turn to relax .,0,en
two construction workers are working in front of a wall which has a bunch of names carved into it .,a group of people are resting at the beach .,0,en
two men are assisting a small girl in a harness .,a boy is playing outside .,2,en
the large white bird graz the water .,a man is playing the guitar .,1,en
two women are laughing and smiling while they eat a meal together .,a man is standing in a dry alley .,1,en
two men entering a brick home during the snow .,a couple of men are holding an umbrella .,1,en
three dogs run through the grass .,there are people on a mountain .,1,en
the white dog is pulling a large stick .,a band is playing outside .,0,en
soldiers are holding guns and peeking around a building .,the man is riding a bull .,2,en
a girl bounce in a bounce house .,the man is trying to get the stick .,1,en
"one man , wearing a blue shirt , standing on the back of a truck in a market .",the woman just won the bar .,2,en
an adventurous man navigate through the jungle with a long stick .,a man drinks whiskey .,0,en
this woman is skiing down a snowy hill .,a group of girls have black clothing .,2,en
an obama bid supporter cheers for the presidential candidate and his running mate .,the dog is tired from his owner .,0,en
red capped male dressed in white shirt and dark shorts is standing on small green boat located water in tall grassy bank .,a dog is running out of a group of people .,2,en
a man in a suit with a purple striped tie talking to a lady wearing sunglasses .,kids are playing outside .,0,en
a black - haired woman with her hair in a high bun is having her head shaved by another woman .,a man plays an instrument .,2,en
three people are dressed in costumes and playing musical instruments .,two men are walking .,2,en
a boy watches a woman walking amidst many concrete boxes .,the two men are in a car .,0,en
a little boy watches from his stroll as an older boy with a yellow balloon wander a few steps away in a fair like setting .,the boy has something in his mouth .,0,en
a mass of people looking and moving in the same general direction .,a woman motions to her son .,1,en
a skier doing a trick on pole while being photographed by another man,the woman is playing the flute .,0,en
a smiling man is holding up a gave .,the child is wearing a swim .,1,en
two men talk outdoors .,a woman is sitting on a bench .,0,en
she is standing outside a building .,a man is working on a project with his project .,2,en
a dark - skinned man in white shirts and a black sleeve shirt flip his skate on a cement surface surrounded by tall buildings and,the adult and child are standing indoors .,0,en
the blue kay is being ridden over a small waterfall .,a woman is having breakfast,0,en
a woman in white climbs up a metal structure .,a person is sitting at a desk .,1,en
woman running in a park while listening to music .,a person is dressed in white pants .,0,en
man straining to climb cliff face .,a man is in the middle of the street .,1,en
"while traveling , a woman in a black jacket is resting on the shoulder of a man in a black jacket .",man looking at a map .,0,en
"a five person brass band is seated , semi - circular , in a white al of a church that has stained glass windows .",there are two people .,1,en
a police officer standing next his police motor holding a yellow safety jacket .,the street is empty .,2,en
"a woman with a red scarf , white shirt , and tan shorts is giving a shu sign to the camera in front of shelves of books",a man is wearing a red shirt .,1,en
two workers in green uniforms are standing in an alley .,a man is sitting down .,0,en
seven young girls are being creative and making posters .,a group of people are on a boat .,1,en
a crowd of people standing in front of statues .,a person is playing catch .,2,en
a man wearing noise - cancel head and a breathing mask works on a white sculpture .,the man is sitting down with his dog .,1,en
team member 39 waiting for the puck to come his way .,a woman is walking through the cemetery .,1,en
a man in an argyle shirt bends down to look at the good through the glass in an asian shop .,a human standing,0,en
a person with an orange shovel is shovel snow .,two women are changing each other .,0,en
"an old man with a cowboy hat , cowboy boots , and blue jeans stands next to a cabin and looks off into the distance as the sun",a woman is working in a dress .,1,en
a man in a mask in the back of a service vehicle .,there is only one person present .,0,en
a woman in br wear embrace an individual .,the man is laying on a beach .,0,en
a person dressed in winter clothes poses with a snow surrounded by snow covered landscape .,a young boy is playing with bubbles .,0,en
child is laughing and playing around .,the man is dressed as a girl .,1,en
a woman attends to her laundry in a lau .,two women are wearing coats .,0,en
a young boy wearing an orange uniform stands on the field near a colorful ball .,a man is carving a turkey .,2,en
a boy and a woman are on top of large rocks at sunset .,the two men are working on a roof .,0,en
blond women working wearing gloves .,a man is laying on the beach .,2,en
a guy and a girl look down a mountain range .,a woman is wearing a white shirt .,2,en
a dark - haired man wearing a black and white t - shirt eats in a park surrounded by people .,a group of people are enjoying a roller coaster .,1,en
a little girl standing in the middle of a street cleared for an on parade .,a man is looking at a painting of a cobb of aluminum cans .,2,en
a man wearing a white shirt and a blue jeans reading a newspaper while standing,a man is talking to another man .,1,en
a young redhead girl in a blue shirt is walking and talking with a boy in black pearl jam shirt .,the people are sleeping on the beach .,1,en
two boys reading superhero books,the man is a photographer,0,en
a short - haired man in a dark camouflage jacket plays the saxophone on a street corner while people look on in the background .,a man is trying to make a perfect shot .,0,en
a young boy dressed in black and green is laying down in a tent outside with items surrounding him .,the man is going to fall,0,en
a young boy wearing an orange jacket is sitting on a log in the fall .,the three teenagers are praying for their team .,0,en
a crowd of people shopping at a street market in an urban area with buildings and a statue in background .,the woman is running naked .,2,en
pedestrian walking on the street,a person is outside .,1,en
dog ya,a man is standing on a ladder .,2,en
sexy young men stand on a balcony having a heated conversation .,two women are playing their favorite song,2,en
a woman with a cart of eggs walks in a market .,the people are sitting on a bench .,0,en
africans are walking down a dirt road with straw huts in the background .,a woman is working in surgery .,1,en
a woman wearing a ball cap squat down to touch the cracked earth .,a woman is thinking about losing .,1,en
a man and woman look upward on a city block .,the man is in a sports car .,2,en
three men are working with their bikes in the shoulder of a road .,a man is on vacation .,2,en
a baby is looking into what looks like a telescope .,a man is giving a presentation to a group of people .,0,en
four kids sitting at a table with food on several plates .,a man has a black shirt .,0,en
an asian lady is holding a cup and sitting in front of a table covered in different foods .,the man is old .,0,en
a woman with a black and white dress on is carrying a green plastic laundry basket in front of an apartment building .,two men are playing soccer .,1,en
a bald man with a white shirt and watch eating food and drinking wine .,the little boy is getting ready to hit a home run .,1,en
young children play on sc .,a woman is in a bikini on the beach .,1,en
little girl with very curly hair drinking her cup of juice .,the woman just won a race .,1,en
"three men in yellow green safety vest sit on a bench ya , smoking and having a break .",two boys are in the ocean .,1,en
a person rolls down a hill riding a wagon as another watches .,the three women are swimming .,0,en
a woman and a child both wearing red outfits walking up a street,the man is watching others do the qu,0,en
a man is giving a presentation .,the lady is at the lowest table .,0,en
a woman in a red long - sleeve shirt and blue jeans stands at the le speaking at or about g u wi,a couple of people are standing near a brick building,2,en
a half dressed man is sleeping on the sidewalk .,a woman checks tan,2,en
a man with a duff bag and girl pushing a cart walk down a street .,a man is carrying a bag .,2,en
"a man is sitting on the floor , sleeping .",the woman is going to buy a picture .,0,en
two people are playing american football and one of them is trying to stop the other from throwing the ball .,the girl is sad .,0,en
a person wearing a red shirt is falling off a white surf .,the group of people are enjoying a meal at the table .,2,en
a woman holding bags behind plant .,the child is playing a game .,0,en
"a boy wearing a yellow shirt , k pants , and blue and yellow shoes is hitting a tennis ball off a wall with a tennis",a couple is walking .,2,en
a man wearing a red shirt is quickly polish a light wooden floor with a small green towel next to a yellow can of wood silk .,the man is working .,0,en
an african person standing in a wheat field .,a young sophisticated woman is cleaning her room .,1,en
an african - american male youth is riding a green bicycle while other people are looking at pictures on a board .,the man is making art .,2,en
a dog plays with a stuffed animal .,the children are playing with a ball .,1,en
painter re - creates old works of art in a museum .,a woman playing a guitar,0,en
a man takes a drink in the doorway of a home .,the waves are near a dangerous truck .,1,en
this is a clown at an elementary school .,the girl is not cleaning up after spilling her friends watch .,1,en
a man hammering nails on a shed .,a person is reading a book .,2,en
a brunette woman holding a little girl dressed in pink is kneeling next to a grazing white and brown ll in the fore of a hilly,a dancing at a club .,2,en
the man in the brown shirt is holding the hand of the long - haired child in front of a painting .,a female is being stalked .,1,en
young men drink coffee and read books just outside some buildings on a sunny day ; an older bearded man in a dark blue shirt glances at a,a male is reading a book .,2,en
man is sha in the mirror .,the man is on a stage .,2,en
a boy spinning on a blue and yellow merry - go - round .,the band is playing classical music .,1,en
a man a woman posing for a picture .,the man is playing hop .,1,en
a busy street with building lined up and people walking down the street outside and nighttime .,the men are working on a building .,2,en
"a woman in skirt , torn stockings and combat boots and a man in aviator and batman tank top walk down a city street .",a man is pointing at his equipment .,0,en
a white man in a blue uniform is pushing away a black man in a red uniform while the two play soccer on a green field .,two young boys are walking in the sand,1,en
three children are shooting guns in the woods .,a man is reading a novel .,2,en
four men stand in a circle facing each other playing brass instruments which people watch them .,a brown dog is laying on a bed .,0,en
a woman in tennis clothes running to hit a ball with her tennis rack .,two men are playing soccer .,2,en
a man sitting on steps with a child as a by walks by .,the dog is in the water .,0,en
a man draws a car of a woman .,a woman in red is dancing .,0,en
several people have gathered behind a group of other people who are sitting around a table .,a man is riding his bike,0,en
a young woman is wearing a paper crown at an outdoor event .,the woman is a professional photographer .,2,en
a person in a red shirt is mo the grass with a green riding mo .,the people are waiting in line .,1,en
a black dog chases a boy wearing red and blue .,two kids are playing a game .,0,en
a group of men are riding a moving walkway .,a couple is playing monopoly .,1,en
lab tech looking through a microscope in a lab .,a group of people are playing at a fair .,0,en
two men are standing in a boat .,the man is playing guitar .,0,en
a man speaking with two women .,the man is wearing a dark green tu .,1,en
a man in a white striped shirt and blue jeans using a water hose to spray water on the ground of concrete ruins . f .,people are eating food .,2,en
two little boys wearing athletic jerseys are washing their hands in a public restroom .,two men are hug .,1,en
three women are sitting on a green bench looking out at the coast .,a man is making music .,1,en
"a group of people on the bark , brightly light street , while one man with a gray hat holds a large colorful sign with arrows .",the man is at the park .,2,en
a man holding a briefcase on a subway .,the woman is working with a microscope .,0,en
3 olympic winners posing for a photo on an advertised background,a man walks outdoors,0,en
a small child in a red jacket is sitting on a man ' s shoulders and holding his head .,three people are standing in a crowded area .,2,en
a white dog is running on a rocky beach .,the person is wearing a fed .,1,en
cook handling hot tray with food on it .,a soccer player is playing basketball .,0,en
a man in a military uniform is walking away from a line of military vehicles .,several people in a large room .,0,en
a black man wearing a red belt and a white man wearing a blue belt are pictured in the act of practicing martial arts inside a building with,a woman is sitting down .,1,en
one young woman in a blue uniform helping another young woman in a blue sweatshirt with a white band around her arm .,the dog is chewing on a bone .,0,en
four men playing drums in very orange lighting while one of them is also drinking something out of a bottle .,the man is at a restaurant eating lunch .,0,en
a lit girl splash around in natural water .,a black dog is sleeping on the couch .,0,en
"two black labs run , one carrying an orange dog toy .",a woman is walking with others on a sidewalk .,0,en
a girl in a blue leo hu hoop on a stage with balloon shapes in the background .,the man is wearing a white shirt .,1,en
a young girl in a pink shirt playing with her barbie .,a person in red,0,en
a girl and a boy hugging on a bridge,the man is smoking .,1,en
a squirrel stands on its hind legs in the grass at the edge of a road .,the men are watching a young person play the game .,2,en
two children wearing hooded tops laughing with each other .,a lady is walking outside with her hands .,2,en
a boy in a gray and yellow jacket is raising his hand in front of others sitting around him .,the man is looking at a computer .,1,en
"the brown , furry animal is walking in the snowy grass with a tree behind him .",some players are sitting on a fire .,2,en
a small group of people wait to board an mt bus .,a man is in the park .,2,en
four people and a baby are crossing the street at a cross .,a group of men and women pray in the street .,2,en
a surfer showing off his talent in public using a man - made water machine .,a person with hair with a shirt watching .,2,en
a land rover is being driven across a river .,the man is the father of the new museum .,2,en
a bunch of people are standing all together in a street with a building in the background .,the mi makes a sword on the show .,1,en
the cyclist rides on a wooded path .,a group of men are at the local park .,1,en
an ambulance is passing a man wearing a banda and girl .,the men are posing for a picture .,1,en
