premise,hypothesis,label,lang_abv
a man is wearing protective hair and face covering .,a man is standing outside .,1,en
two young children wearing wool caps and mit covering their mouths while whispering to each other .,a woman is sitting on a chair .,2,en
a young infant cries while having his or her pajamas button .,a man is standing outside .,2,en
a group of people are in a row in the ocean surrounded by sea .,the dog is running .,1,en
an accident involving a green sudan and a gray van .,a man is standing outside .,2,en
two men in karate gear using fighting sticks .,there are two men .,2,en
"a man on a bicycle rides past a park , with a group of people in the background .",a man is sitting on a bench .,2,en
a group of people in black outfits drinking beer .,a woman is sitting on a couch .,1,en
a winds catching air with water streaming off of the board .,two people are eating at a restaurant .,2,en
two girls wearing hats are running through snow drift outside .,the man is wearing a red shirt .,0,en
young boys in green and blue jerseys kick around a soccer ball while other soccer games take place in the background .,a woman is wearing a shirt .,0,en
a large group of people gather at a piano bar .,the man is sitting on the chair .,1,en
a shirt booth with a man printing a shirt .,a man is trying to get a tan .,1,en
a young girl with her bike .,a man is in front of an audience .,2,en
boys in what appears to be a library or school room .,a man is playing a video games .,2,en
"a man wearing blue jeans and a peach shirt is arguing with a woman with long gray hair , a red skirt and tan shirt .",a woman is wearing a black dress .,0,en
"one man watches while another break , balancing himself for a moment on one hand .",there are people standing in the street .,2,en
"a bearded man jumps in the snow with the ocean in the background and an orange , rec bike parked near a road sign .",a woman is walking,2,en
a crowd is watching a group of men in suits with briefcase walk in formation down the street led by a woman holding a sign .,a man and woman are walking down a sidewalk .,0,en
the hockey players and referee are preparing for a face - off .,the man is out for a walk .,1,en
two cars are being driven in a car race .,a man is walking .,0,en
a young man holding a young woman in his arms as they get splashed by water shooting up from a fountain .,a man is wearing a shirt on his head .,0,en
two construction workers are working in front of a wall which has a bunch of names carved into it .,a man is walking on the sidewalk .,0,en
two men are assisting a small girl in a harness .,a woman is playing music .,2,en
the large white bird graz the water .,a man is playing a game .,1,en
two women are laughing and smiling while they eat a meal together .,a man is running in a marathon .,1,en
two men entering a brick home during the snow .,a girl is playing with her friends .,1,en
three dogs run through the grass .,the man is in a car .,1,en
the white dog is pulling a large stick .,a man is holding a baby .,0,en
soldiers are holding guns and peeking around a building .,a man is driving a car .,2,en
a girl bounce in a bounce house .,the man is playing baseball .,1,en
"one man , wearing a blue shirt , standing on the back of a truck in a market .",the man is in a boat .,2,en
an adventurous man navigate through the jungle with a long stick .,a man is climbing a rock wall .,0,en
this woman is skiing down a snowy hill .,a man is riding a bike .,2,en
an obama bid supporter cheers for the presidential candidate and his running mate .,the girl is wearing a red shirt .,0,en
red capped male dressed in white shirt and dark shorts is standing on small green boat located water in tall grassy bank .,a person is sitting on a bench .,2,en
a man in a suit with a purple striped tie talking to a lady wearing sunglasses .,people are at a party .,0,en
a black - haired woman with her hair in a high bun is having her head shaved by another woman .,a man is sitting on a bench .,2,en
three people are dressed in costumes and playing musical instruments .,the man is wearing a shirt .,2,en
a boy watches a woman walking amidst many concrete boxes .,the two men are in a park .,0,en
a little boy watches from his stroll as an older boy with a yellow balloon wander a few steps away in a fair like setting .,the woman is wearing a dress .,0,en
a mass of people looking and moving in the same general direction .,a man with a beard is holding a stick .,1,en
a skier doing a trick on pole while being photographed by another man,a man is playing a guitar .,0,en
a smiling man is holding up a gave .,the woman is wearing a hat .,1,en
two men talk outdoors .,a man is standing in front of a building .,0,en
she is standing outside a building .,a man is looking at a tv screen .,2,en
a dark - skinned man in white shirts and a black sleeve shirt flip his skate on a cement surface surrounded by tall buildings and,the boy is wearing a shirt with a hat .,0,en
the blue kay is being ridden over a small waterfall .,a man is making dinner .,0,en
a woman in white climbs up a metal structure .,a woman is sitting on a bench .,1,en
woman running in a park while listening to music .,a woman is walking .,0,en
man straining to climb cliff face .,a man is in a boat .,1,en
"while traveling , a woman in a black jacket is resting on the shoulder of a man in a black jacket .",two men are in a boat .,0,en
"a five person brass band is seated , semi - circular , in a white al of a church that has stained glass windows .",the old man is a woman .,1,en
a police officer standing next his police motor holding a yellow safety jacket .,a man is playing music .,2,en
"a woman with a red scarf , white shirt , and tan shorts is giving a shu sign to the camera in front of shelves of books",a man is walking on a sunny day .,1,en
two workers in green uniforms are standing in an alley .,a man is holding a baby .,0,en
