premise,hypothesis,label,lang_abv
a man is wearing protective hair and face covering .,the boy scouts are loki !,1,en
two young children wearing wool caps and mit covering their mouths while whispering to each other .,the bears are empty .,2,en
a young infant cries while having his or her pajamas button .,a woman swimming in sand,2,en
a group of people are in a row in the ocean surrounded by sea .,there are people watching the ocean on vacation .,1,en
an accident involving a green sudan and a gray van .,the women is holding flowers .,2,en
two men in karate gear using fighting sticks .,multiple fans and workers in swim caps at disney world event .,2,en
"a man on a bicycle rides past a park , with a group of people in the background .",a woman looks out of the window .,2,en
a group of people in black outfits drinking beer .,a dog is wearing a race .,1,en
a winds catching air with water streaming off of the board .,nobody is running through a field .,2,en
two girls wearing hats are running through snow drift outside .,the man formed out has a happy open door as washing his back in them .,0,en
young boys in green and blue jerseys kick around a soccer ball while other soccer games take place in the background .,a pair of martial artists practice private together,0,en
a large group of people gather at a piano bar .,the man is beside the grill .,1,en
a shirt booth with a man printing a shirt .,the little kid is playing is at the beach .,1,en
a young girl with her bike .,a football player in sandals reads obstacle on the course .,2,en
boys in what appears to be a library or school room .,the man is trying to help pup watch a tiger .,2,en
"a man wearing blue jeans and a peach shirt is arguing with a woman with long gray hair , a red skirt and tan shirt .",the plaza is bright building,0,en
"one man watches while another break , balancing himself for a moment on one hand .",workers installing suv around a metal frame .,2,en
"a bearded man jumps in the snow with the ocean in the background and an orange , rec bike parked near a road sign .",a boat is stuck .,2,en
a crowd is watching a group of men in suits with briefcase walk in formation down the street led by a woman holding a sign .,a person and animal are sleeping on a patio .,0,en
the hockey players and referee are preparing for a face - off .,two men building a snow .,1,en
two cars are being driven in a car race .,a girl holding her hand is protecting her wrist .,0,en
a young man holding a young woman in his arms as they get splashed by water shooting up from a fountain .,a high jumper a pink sweatshirt goes down a dusty wooded path .,0,en
two construction workers are working in front of a wall which has a bunch of names carved into it .,a woman cooking dinner .,0,en
two men are assisting a small girl in a harness .,a soccer player is jumping .,2,en
the large white bird graz the water .,"a man just got off the road , or an old man .",1,en
two women are laughing and smiling while they eat a meal together .,a man points at a child in brown .,1,en
two men entering a brick home during the snow .,a worker in at work .,1,en
three dogs run through the grass .,people are screaming and ready for their chores to take advantage of the location to tell them on top of it .,1,en
the white dog is pulling a large stick .,the girl is sitting outside .,0,en
soldiers are holding guns and peeking around a building .,the man is participating in a church service .,2,en
a girl bounce in a bounce house .,two people are holding hu hoop .,1,en
"one man , wearing a blue shirt , standing on the back of a truck in a market .",they are indoors,2,en
an adventurous man navigate through the jungle with a long stick .,a woman pee hi .,0,en
this woman is skiing down a snowy hill .,the woman looked surprised at by her husband .,2,en
an obama bid supporter cheers for the presidential candidate and his running mate .,two ladies sleeping on their bed .,0,en
red capped male dressed in white shirt and dark shorts is standing on small green boat located water in tall grassy bank .,a teenager is wearing a gray shirt,2,en
a man in a suit with a purple striped tie talking to a lady wearing sunglasses .,skater is inside playing with his son .,0,en
a black - haired woman with her hair in a high bun is having her head shaved by another woman .,a little asian girl playing with her boyfriend,2,en
three people are dressed in costumes and playing musical instruments .,women are carrying bags .,2,en
a boy watches a woman walking amidst many concrete boxes .,the two men are in the car .,0,en
a little boy watches from his stroll as an older boy with a yellow balloon wander a few steps away in a fair like setting .,two adults relax after a thousand breakfast .,0,en
a mass of people looking and moving in the same general direction .,a girl sleeps on the floor .,1,en
a skier doing a trick on pole while being photographed by another man,the wall is red,0,en
a smiling man is holding up a gave .,only boy is showing off her finger,1,en
two men talk outdoors .,a girl is sitting on a couch,0,en
