premise,hypothesis,label,lang_abv
"a man wearing a white shirt and a hat , riding his bike , makes an obscene gesture to the photographer",a man is holding a sign .,0,en
a young boy plays on a pile of rocks .,a man is holding a sign .,0,en
a man riding a motorcycle on a dirt road passing several junk or abandoned cars on the side of the road .,a man is holding a child .,0,en
these people are in uniform at a lacrosse type game .,a person is riding a bike .,0,en
a man is kay in rough waters .,a man is holding a sign .,0,en
a man is hanging sausage in a market .,a man is sitting in a chair .,0,en
women wearing a black top and glasses speaking into a blue tipped microphone with another woman beside her writing .,a man is holding a sign .,0,en
a brown and black attack dog being trained by a man holding a stick,a man is holding a sign .,0,en
"a woman in a gray kim walks past a black car in the middle of a crowded street full of japanese signs , with a man in",a man is riding a bike .,0,en
a man is using what looks to be a fa machine .,a man is wearing a shirt .,0,en
3 young man in hood standing in the middle of a quiet street facing the camera .,a man is wearing a shirt .,0,en
a man wearing no shirt is lifting a shovel by a wheel as he works outside .,a man is holding a microphone .,0,en
fire stand outside of their fire with all its lights on .,a man is standing in front of a building .,0,en
a large group of people pop a dimly lit room .,a man is on the phone .,0,en
"the blond young man who had been sp with paint colors of blue , orange , and green held up his camera to take a picture",a man is playing a guitar .,0,en
little boy in a green sweatshirt playing with his toy train .,a man is sitting on a bench .,0,en
an older woman is looking at herself in the mirror at a table with cosmetics .,a person is riding a bike .,0,en
a yellow back near a large pile of dirt and rocks near a blue machine with a worker standing on it .,a man is holding a sign .,0,en
a woman is using a small scissors on a large net .,a man is wearing a shirt .,0,en
a cart of large water containers is in front of two women who are standing as well as two women who are walking down the street .,a man is playing a guitar .,0,en
"an old man , likely a blacksmith , is welding a tool , seen by the red hot sc look of it .",a man is sitting in a chair .,0,en
a woman finishing a marathon race .,a man is wearing a shirt .,0,en
a man looks intent while sc a ga .,a man is sitting on a bench .,0,en
"a person dressed in a dress with flowers and a stuffed bee attached to it , is pushing a baby stroll down the street .",a man is playing an instrument .,0,en
some men in burgundy coats try to push a car in the snow .,a man is playing a guitar .,0,en
man in leather jacket and scarf sits on purple cushion at a party .,a man is standing in front of a building .,0,en
a large crowd is gathered outside and one woman is yelling .,a man is holding a sign .,0,en
island native fishermen reeling in their nets after a long day ' s work .,a man is playing a guitar .,0,en
two person are walking on the streets .,a man is holding a baby .,0,en
